frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
240,2.6464305,4.6957293,3.7396138,-616377.2092049029,4.3088466465702435,3.210200288872274
250,1.9002228,3.8377538,3.0883055,-614370.8342049029,4.24202640553359,2.9580212806808457
260,1.951653,3.523202,3.2093313,-616269.7092049029,4.231387721096168,2.8943677630358926
270,2.0461144,3.8486457,3.700547,-616746.0842049029,3.966105205950364,2.6448908965717863
280,1.8958068,3.0483484,3.373462,-614741.7092049029,4.590440039468635,2.8077643037311066
290,1.782227,3.996669,2.9956944,-616552.2092049029,4.6296360512594505,2.9580145242194433
300,2.235072,4.2574806,2.8485575,-615772.4592049029,4.058139602495192,2.6412083816858583
310,2.182669,4.538423,3.6282175,-614952.7092049029,4.267592241502019,2.893215945980522
320,2.532206,4.209564,3.4082541,-616299.7092049029,4.083720878339843,2.5995732152162865
330,2.1127815,4.6027026,3.152951,-615833.7092049029,4.295427248692784,2.8981139403755254
340,2.0265126,4.0033355,1.9247944,-616667.4592049029,4.36921503519882,2.2366766209779043
350,2.2641978,4.284781,2.471936,-614247.5842049029,3.751327229037143,2.812026290018286
360,2.431497,4.1825776,2.8756144,-614024.9592049029,4.068157604351082,2.3923424862986815
370,1.9273942,4.7473383,3.5599518,-616476.0842049029,4.2915832926672906,2.5195258654784154
380,2.0058932,4.0397196,2.705991,-616770.0842049029,4.3012407247132645,2.487913848214211
390,2.625909,4.670096,2.23805,-615347.9592049029,4.1719113462718855,2.635023860186796
400,2.0590823,4.230072,3.5492089,-614914.4592049029,4.644126433638598,2.738864662226742
410,1.9756651,3.698922,3.3133721,-615628.4592049029,4.814777522426971,2.3461455385642798
420,1.7457439,2.7845361,2.783596,-614850.9592049029,4.323471873392748,2.9041153574295056
430,1.9958569,3.6868358,3.2947736,-616250.3342049029,4.854049240967293,2.9815230121938674
440,2.1683507,4.0960774,2.732814,-616558.7092049029,4.5500029379249085,2.9613737388781516
450,2.0858274,3.927537,2.8893504,-615609.3342049029,4.402914482353877,3.1065800857805965
460,2.4005806,4.1122046,2.7154915,-616244.9592049029,4.638725584383097,3.0497928859950605
470,2.3257508,3.9573007,3.2879214,-615553.9592049029,4.742425582439495,2.99864667770009
480,2.035813,4.1054125,3.2292817,-614331.8342049029,4.457898201222589,2.9791977850448177
490,2.1730175,3.7938201,3.149668,-615304.7092049029,4.4566279948492005,2.958650537582406
500,1.8925633,3.7612624,3.6410623,-615931.3342049029,4.550657230184974,3.0883449641604095
510,2.6209588,4.304791,3.1147401,-615636.0842049029,4.571727507848132,2.3305077638393183
520,1.9173998,3.771629,2.9689043,-615834.0842049029,4.6500920867258095,2.952665832511486
530,2.4527044,4.507296,2.4648452,-615306.4592049029,4.460906220799944,3.105575214357331
540,1.9817731,4.000075,3.4580984,-615232.7092049029,4.825498785333034,3.07765039805379
550,1.8501221,4.1394863,2.7929733,-615372.0842049029,4.787493345501056,3.0025415499593393
