frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
210,6.1430335,5.2528577,7.4935923,-614240.4705867288,3.093665124897225,2.6187379670485305
220,5.797108,4.835927,6.937612,-615449.0955867288,2.7640892990315695,2.6974557436573434
230,6.105311,4.529691,7.1635666,-613905.0955867288,2.8004137691196824,2.631156203204756
240,5.7630906,4.6705294,6.3760815,-613210.9705867288,2.7952417200714854,2.609676495763935
250,5.430488,4.459173,6.969298,-616448.8455867288,2.9383457406686477,3.1198429726497414
260,7.3081403,7.378488,7.672613,-614875.9705867288,3.4287084122985383,2.5066542351173675
270,7.422343,7.691002,7.4652166,-614303.8455867288,3.477797564364987,2.589580600929456
280,7.055418,7.3791623,7.8084846,-615785.0955867288,3.7285920129794055,2.6295004647807603
290,6.8962946,6.86992,8.002067,-613410.3455867288,3.5854621964173896,2.638029132499598
300,6.954479,6.8889165,8.033166,-613782.3455867288,3.0635585742389586,2.54116476293781
310,5.351242,4.9059067,7.0718226,-615688.3455867288,3.3471891150237694,2.7881846959450853
320,5.5535,4.488901,7.007275,-615899.7205867288,3.241757379206248,2.856065244336976
330,5.7047887,5.2104464,7.004621,-613952.8455867288,3.3255862345787723,2.711104141490167
340,6.1288733,5.5748034,7.428569,-613937.8455867288,3.090119605324658,2.7405480444545782
350,5.4264717,5.1480837,6.764912,-613971.5955867288,3.1864260436782894,2.6556502135541353
360,5.6010704,4.690661,6.9086323,-613455.5955867288,3.0114916379156513,3.0997306705186305
370,5.2005153,4.49689,7.013594,-615758.9705867288,3.1317694177016415,2.591735739407775
380,5.347458,4.9417486,6.531305,-615549.7205867288,3.7384470326972643,2.536537974024631
390,5.4657345,4.9292107,7.629889,-613613.5955867288,3.7337210516723647,2.201623724040427
400,5.262299,5.390265,5.9165535,-613750.7205867288,3.412413901546671,2.7204944609248143
410,5.7196093,4.820301,7.057585,-613267.8455867288,3.6259917847723697,2.884853205637194
420,5.1510015,5.2391663,7.025576,-614368.0955867288,3.5866192556301555,2.8475916597531112
430,5.57831,4.4400477,7.498918,-614411.8455867288,3.481875261796484,2.5686166049554697
440,5.3258114,5.270443,6.9712715,-613936.9705867288,2.9976278319944387,2.565442797696797
450,6.2888403,6.7211657,7.1163697,-614166.8455867288,3.401893470256634,2.9527998281140713
460,5.6855106,5.2276006,7.253254,-614404.7205867288,2.8310960256132827,2.994098474114489
470,4.472887,5.0996513,6.1921124,-614826.7205867288,2.8633059352703176,2.6627273575187043
480,4.531213,5.089873,6.4570904,-613392.5955867288,3.107064436624271,2.3972645253075395
490,5.2805495,6.1914806,5.9428496,-614585.4705867288,3.0144469482859804,2.916924298666303
500,6.052935,5.8842344,7.2704186,-614544.8455867288,3.2120054123504334,2.904883902170468
510,5.451856,4.9946055,7.1850643,-614535.0955867288,3.067842016032687,2.9260771047206275
520,5.412721,5.387814,7.4143057,-614956.7205867288,3.3176598627789655,3.027407429591089
530,4.847483,5.6048536,6.6094193,-614079.0955867288,3.066908406278015,2.789486208669412
540,6.1703277,5.9130588,7.994989,-613975.8455867288,3.1684440215294956,2.4715159363847476
550,6.7008157,6.582672,7.944986,-614603.5955867288,3.4165050719300982,2.7534763639766107
560,5.9504023,6.3432994,7.4039063,-613743.0955867288,3.2534420589976487,2.7142448261912846
570,7.6471515,7.326215,8.443548,-614625.9705867288,3.5848900337783673,2.855499832953893
580,7.8536134,7.387523,6.995109,-615257.4705867288,3.2020287703093824,3.151794895789653
590,7.6560626,6.71607,7.661255,-614156.8455867288,3.577247784783322,2.848591700132183
600,7.163062,7.6458564,8.6362095,-614964.8455867288,3.282181691311271,2.9429817211453355
610,7.3565717,7.2627254,8.370799,-616500.2205867288,3.5616174880111995,3.2403668066239772
620,6.9143324,7.9803033,7.1077185,-613408.3455867288,4.098736335767077,2.901263285731549
630,6.745783,6.9343996,7.428305,-614955.9705867288,3.630269978936204,2.6704909292118497
640,7.5885954,7.437193,7.9154825,-614690.2205867288,3.3524170835704528,2.7308133846841236
650,7.263527,7.698909,7.55769,-615211.3455867288,3.5453553131494124,2.7444505929984215
660,7.18561,7.449359,7.387819,-614050.0955867288,3.7162163798935595,2.8775541287549777
670,7.3068457,7.173635,7.6757336,-614342.5955867288,3.9302249448534408,2.8487668430801936
680,8.167212,8.825999,7.507193,-615091.9705867288,4.5746117316837145,3.2338762589175376
690,7.04909,7.9432025,7.223563,-615020.5955867288,4.201939463856031,2.8312617454151257
