frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
440,5.3258114,5.270443,6.9712715,-613936.9705867288,30.401718397057213,30.10284146971052
450,6.2888403,6.7211657,7.1163697,-614166.8455867288,33.85684458875258,29.79867379230796
460,5.6855106,5.2276006,7.253254,-614404.7205867288,33.73239799659724,28.69791259410924
470,4.472887,5.0996513,6.1921124,-614826.7205867288,33.38052717216667,31.164617456210813
480,4.531213,5.089873,6.4570904,-613392.5955867288,31.73170156686511,28.12500466621118
490,5.2805495,6.1914806,5.9428496,-614585.4705867288,31.29490194345004,27.03412653790742
500,6.052935,5.8842344,7.2704186,-614544.8455867288,32.14258583889215,26.992842954922683
510,5.451856,4.9946055,7.1850643,-614535.0955867288,33.07523590159812,27.083192474958114
520,5.412721,5.387814,7.4143057,-614956.7205867288,31.014344487688778,26.539733950073487
530,4.847483,5.6048536,6.6094193,-614079.0955867288,29.643903642449313,26.18943815278537
540,6.1703277,5.9130588,7.994989,-613975.8455867288,29.557500055895655,22.980841109803503
550,6.7008157,6.582672,7.944986,-614603.5955867288,30.790923581716186,22.843992719501244
560,5.9504023,6.3432994,7.4039063,-613743.0955867288,30.67637939013293,20.392017760574234
570,7.6471515,7.326215,8.443548,-614625.9705867288,32.5300932674599,21.38552011866312
580,7.8536134,7.387523,6.995109,-615257.4705867288,32.25032197639499,23.789938148779072
590,7.6560626,6.71607,7.661255,-614156.8455867288,32.36642247770203,22.900547763372952
600,7.163062,7.6458564,8.6362095,-614964.8455867288,31.222850773438566,23.313902099884942
610,7.3565717,7.2627254,8.370799,-616500.2205867288,29.24972014523176,23.073106231058624
620,6.9143324,7.9803033,7.1077185,-613408.3455867288,29.301753947180888,24.02230437900299
630,6.745783,6.9343996,7.428305,-614955.9705867288,30.496768973749,21.223825228925694
640,7.5885954,7.437193,7.9154825,-614690.2205867288,31.44705979967079,22.427309952396403
650,7.263527,7.698909,7.55769,-615211.3455867288,32.74520576567634,24.039820185186315
660,7.18561,7.449359,7.387819,-614050.0955867288,33.264416003422156,24.97102151480585
670,7.3068457,7.173635,7.6757336,-614342.5955867288,33.100963173349534,25.621529708318793
680,8.167212,8.825999,7.507193,-615091.9705867288,34.81441806970784,27.587787160355045
690,7.04909,7.9432025,7.223563,-615020.5955867288,35.36942386264184,30.6656071859953
700,7.0226045,7.311326,7.4702153,-614799.2205867288,35.326943818323215,30.12886152708784
710,7.527738,7.3986692,8.059589,-614453.7205867288,35.07627723507542,31.731693582706086
720,7.3283467,7.280779,8.206123,-615897.4705867288,37.06391912248694,33.05564430293315
730,7.114089,7.8840003,8.146828,-613645.8455867288,38.29088107525197,33.07553074944502
740,7.8401136,7.502772,8.08976,-614168.2205867288,37.225496306233815,33.71325039018364
750,7.8801723,7.538119,8.696857,-613305.0955867288,36.868156731662665,33.79178662813465
760,7.6291513,7.58922,8.668073,-614534.2205867288,38.58962155628684,35.38790600913716
770,7.401803,7.47408,8.762086,-615209.2205867288,37.621954495084196,34.914322287187495
780,7.8117476,6.9990325,8.776612,-615123.5955867288,36.81543305829147,34.23316753429452
790,7.295379,7.5225825,8.668177,-613906.0955867288,36.38951516500656,33.14078936506754
800,7.819379,7.914424,9.010685,-615187.3455867288,36.75521230996611,33.554267701623054
810,7.244457,7.394942,7.96761,-613652.5955867288,38.79998287985621,37.18739836033805
820,7.8145514,7.7470446,9.115694,-614694.5955867288,39.45799414906095,35.89171416674831
830,8.176473,7.322633,8.30505,-613720.8455867288,41.170218636009466,38.931538356681095
840,7.4776015,7.7178907,7.6432953,-614345.0955867288,42.32584846629378,39.07261869474464
850,8.75937,7.486791,9.328786,-614070.3455867288,44.699514671169716,43.1952350633034
860,7.9907565,8.135065,8.624566,-614383.5955867288,46.823185921845216,44.70931194719243
870,7.160292,6.2631702,8.972146,-615353.5955867288,46.719702778969044,45.74528452592408
880,7.7000303,7.5555735,7.541737,-615124.8455867288,46.9723749607559,45.066818830005424
890,7.2408576,7.434176,7.7607408,-613522.0955867288,45.41274449807166,44.02720121066913
900,7.8873825,8.083265,7.682971,-614864.5955867288,45.08923030886192,42.4632195950391
910,7.01986,6.4283347,7.8336887,-615146.3455867288,45.659882955951325,43.41649338026329
920,6.7629423,6.454291,8.23852,-614608.3455867288,47.06146975798805,47.25031361921937
930,8.131849,7.3040338,10.546552,-613941.5955867288,48.37071836286767,47.62123037390417
940,7.258774,7.0316567,8.400442,-615407.8455867288,49.23701242587298,48.08197884790058
950,6.7924967,5.7612343,8.536006,-615132.8455867288,50.776732979783446,50.57014589554821
