frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
550,1.8810037,1.9963188,2.5072625,-615950.9970833645,3.3813001601646326,1.9034558791949454
560,1.8906516,1.7337047,2.3325887,-616534.4970833645,3.473394553130341,1.7849565852493072
570,2.0119822,1.9810625,3.2009335,-615192.6220833645,3.8064326639489097,1.880871123400486
580,1.9711474,1.6811225,2.1844473,-613751.4970833645,3.5543029616761204,1.9621275932531221
590,1.6117678,1.6635817,2.7789514,-617215.4970833645,3.6999748009311797,1.8925130641468786
600,2.021089,1.7622024,2.122053,-615821.9970833645,3.216542280597577,1.8193738901000145
610,1.7350483,2.187967,2.1190975,-616045.4970833645,3.385818296289208,1.8609696583487787
620,1.7054232,1.8228757,2.3941743,-614486.3720833645,3.613843225894132,2.089348592860132
630,1.6916218,1.7305279,1.9806794,-616407.4970833645,3.5536060715146105,1.955034391837937
640,2.0508406,1.6746837,2.3671777,-616022.3720833645,3.0504341559442607,1.9487219087028071
650,1.8879462,2.0492823,2.321774,-616828.2470833645,3.3346945048651646,1.734373722886862
660,1.6555595,1.6397716,2.3801079,-615533.2470833645,3.4254862033551152,1.713671935128547
670,2.13305,1.7793943,2.315216,-614682.4970833645,3.489159136760068,1.8113482766800184
680,1.9928151,1.7188108,2.0968602,-615533.2470833645,3.6368248421228,2.0536943355585486
690,1.8898108,1.9891664,1.954033,-615919.7470833645,3.4490958742722584,1.8586458990206738
700,2.0238676,1.7476792,2.0430012,-615444.4970833645,3.2815232073141525,1.9707038032100712
710,1.9366077,1.7122513,2.1727443,-615037.9970833645,3.412096626751508,1.8823874734877468
720,1.9372848,1.7225637,2.3255622,-615007.7470833645,3.4109971902898897,1.6293925987685045
730,2.4574244,1.9272422,2.2911665,-613147.7470833645,3.259470773316051,1.1805867366757703
740,2.3387074,1.7139544,2.296599,-616810.4970833645,3.4314979480369576,1.3004213223853591
750,2.177452,1.7937104,2.0015383,-616595.2470833645,3.478885460257765,1.4260064284182044
760,1.8829226,1.8426826,2.197884,-615057.7470833645,3.5988255407465655,1.8413691038308317
770,2.1699367,1.7926997,2.104975,-616590.4970833645,3.4239529530039885,1.78862272786006
780,1.9825442,1.6479495,1.9972838,-615693.7470833645,3.209415356716366,1.3982125110849632
790,2.3997765,1.7466941,2.8543794,-616560.7470833645,3.2654314706219343,1.5933477394872435
800,2.3033826,1.7819505,2.1016655,-615436.7470833645,3.3535372386108544,1.7681500222518767
810,1.658618,1.9291432,1.9322234,-615945.3720833645,3.3889042091863124,1.3335127332081722
820,2.2383087,1.845317,2.3390272,-616638.2470833645,3.2590381458079745,1.8168261100507932
830,2.2546725,1.8067816,1.779754,-615029.2470833645,3.233381004865075,2.1474802331394804
840,2.2632892,1.5615573,2.653757,-616807.2470833645,3.14448958181046,2.320003489852557
850,2.0110803,1.6179042,1.8062418,-615585.1220833645,3.4715463297020914,2.1214369735688363
860,1.9867562,1.8240341,1.9554644,-615278.9970833645,3.4973053453701937,2.2308376128090934
870,2.2712178,1.7087581,1.7556931,-614417.4970833645,3.507516539018658,2.2330956323314157
880,2.043342,1.8449461,1.8992031,-615934.2470833645,3.2520480861331924,2.1924431520244134
890,2.0253391,1.6730348,1.7901616,-615181.9970833645,3.5173173209787008,2.2701797593744417
900,1.9331896,1.6372744,1.8428499,-616316.2470833645,3.3188499981131363,1.9414511334711797
910,1.9508183,1.6160105,1.960572,-615269.4970833645,3.521636003604795,2.119002837075263
920,1.82606,1.673535,2.173588,-613703.1220833645,3.331270845914617,1.6578739112087482
930,1.876429,1.7080716,2.026837,-615556.9970833645,3.3780520051721115,2.0999960232777615
940,1.981452,1.7986025,2.8128855,-614316.1220833645,3.3634835681481983,2.1512033997323474
950,1.8398075,1.8254608,2.328254,-616414.9970833645,3.265804862536757,2.089624802343383
