frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
630,4.7534037,8.164944,4.5401073,-613878.3455867288,3.169276859155487,3.1221704964839128
640,5.143124,8.472299,4.0086956,-616527.3455867288,3.261561930737534,2.3770031208587143
650,4.6792383,6.937272,4.616316,-616372.0955867288,3.245741978767025,2.3315472123383865
660,4.472151,7.843379,3.5964289,-614078.2205867288,3.15554261631637,2.107301679523547
670,4.8621106,7.795035,4.1033897,-613879.7205867288,3.1191624063928587,2.3331526608739592
680,6.09056,7.772728,4.7609158,-612478.7205867288,3.7382447014018436,2.6450626702077513
690,4.0869617,6.8702936,4.12292,-614244.9705867288,3.3526398813643996,2.193749907325871
700,5.9109964,9.258024,5.2975407,-613776.9705867288,3.671620359567444,2.1662261638377
710,4.7035995,6.6465755,4.932557,-613411.5955867288,3.470827189617626,2.166691464805443
720,5.0852,8.455058,4.6692576,-614628.3455867288,3.3904155422209645,2.177239971165822
730,4.8267384,7.5229683,4.5091596,-613692.9705867288,3.5673336788640597,2.328864625002929
740,4.7585454,8.19406,4.65873,-614941.7205867288,3.5454851569477475,2.0756023805760164
750,6.6901674,10.475288,6.356828,-614388.3455867288,3.440423106872497,2.1352059112413504
760,6.314221,9.950013,5.489547,-613498.8455867288,3.5150024818125263,2.4302797617490666
770,8.710074,11.406648,6.753384,-613799.0955867288,3.6551416400173964,2.487319277980871
780,9.271833,12.701414,8.004628,-614830.0955867288,3.229806671797223,2.6928293647204997
790,9.47233,12.719997,7.573045,-614027.0955867288,3.673698954021192,2.803029438961245
800,8.828417,12.684455,6.723015,-614399.0955867288,3.587167945370224,2.3345444779071998
810,9.068741,12.413998,7.1875186,-612315.7205867288,3.6150089764536135,2.9121920376649006
820,9.9879055,12.504076,8.4002,-613452.5955867288,3.8556046836115296,2.9464209625747766
830,15.134765,18.385424,13.513208,-614966.5955867288,3.048964062942622,3.256712220653941
840,16.154606,19.236002,14.468846,-613156.5955867288,3.3793564027425678,2.897855088769067
850,14.85315,18.476566,13.548264,-614894.0955867288,3.413780114704865,3.3397177355346317
860,15.573517,18.69885,14.197059,-614375.9705867288,3.4611866551617285,1.9300127809696954
870,14.584335,17.647738,12.742545,-614973.0955867288,2.723507791244955,2.6114884074095226
880,15.119045,18.49196,13.367333,-614813.0955867288,3.1062161352742237,1.674193159452397
890,14.377517,17.555277,13.027939,-614072.8455867288,3.6080712073414856,2.310568454724866
900,13.783398,17.017818,12.9791,-615069.0955867288,3.9088793804664386,2.5312846817938195
910,14.507378,18.030407,12.954075,-615828.5955867288,3.598396258902648,3.308919861725205
920,16.5688,19.379713,13.872859,-614794.9705867288,3.524005268580002,3.1062877904339596
930,13.513592,16.629055,12.109496,-616429.0955867288,3.61521773662365,3.07900779381602
940,14.634329,18.88958,13.431557,-616040.2205867288,3.685179596072142,1.9893344494953116
950,16.110624,19.387886,14.14663,-613449.2205867288,3.3905173665618107,3.020853975310527
960,11.213378,13.277007,11.1696,-615335.3455867288,3.3460434780457105,2.6291421320612596
970,8.861174,10.8948,8.241103,-614829.0955867288,3.047270027358164,2.9102100726124323
980,10.644215,11.668341,11.130765,-613174.8455867288,3.512085890347078,2.7527902795054677
990,10.843796,11.626171,11.759295,-614443.3455867288,3.482201236660128,2.772770922266316
